command started at 2026-03-09 04:32:43+00:00, finished at 2026-03-09 04:32:53+00:00 with exitcode=0
LAST SEEN   TYPE      REASON      OBJECT                                     MESSAGE
44m         Normal    Pulling     pod/arc-heavy-runners-mlqbj-runner-277w5   Pulling image "ghcr.io/actions/actions-runner:latest"
44m         Normal    Pulled      pod/arc-heavy-runners-mlqbj-runner-277w5   Successfully pulled image "ghcr.io/actions/actions-runner:latest" in 80ms (80ms including waiting). Image size: 540108575 bytes.
44m         Normal    Created     pod/arc-heavy-runners-mlqbj-runner-277w5   Created container: runner
17m         Normal    Scheduled   pod/arc-heavy-runners-mlqbj-runner-27f4m   Successfully assigned arc-runners/arc-heavy-runners-mlqbj-runner-27f4m to aks-heavy-22317745-vmss000002
17m         Normal    Pulling     pod/arc-heavy-runners-mlqbj-runner-27f4m   Pulling image "ghcr.io/actions/actions-runner:latest"
17m         Normal    Pulled      pod/arc-heavy-runners-mlqbj-runner-27f4m   Successfully pulled image "ghcr.io/actions/actions-runner:latest" in 72ms (72ms including waiting). Image size: 540108575 bytes.
17m         Normal    Created     pod/arc-heavy-runners-mlqbj-runner-27f4m   Created container: runner
29m         Normal    Scheduled   pod/arc-heavy-runners-mlqbj-runner-27fz7   Successfully assigned arc-runners/arc-heavy-runners-mlqbj-runner-27fz7 to aks-heavy-22317745-vmss000002
29m         Normal    Pulling     pod/arc-heavy-runners-mlqbj-runner-27fz7   Pulling image "ghcr.io/actions/actions-runner:latest"
29m         Normal    Pulled      pod/arc-heavy-runners-mlqbj-runner-27fz7   Successfully pulled image "ghcr.io/actions/actions-runner:latest" in 68ms (68ms including waiting). Image size: 540108575 bytes.
17m         Normal    Scheduled   pod/arc-heavy-runners-mlqbj-runner-27gl5   Successfully assigned arc-runners/arc-heavy-runners-mlqbj-runner-27gl5 to aks-heavy-22317745-vmss000002
17m         Normal    Pulling     pod/arc-heavy-runners-mlqbj-runner-27gl5   Pulling image "ghcr.io/actions/actions-runner:latest"
17m         Normal    Pulled      pod/arc-heavy-runners-mlqbj-runner-27gl5   Successfully pulled image "ghcr.io/actions/actions-runner:latest" in 98ms (98ms including waiting). Image size: 540108575 bytes.
17m         Normal    Started     pod/arc-heavy-runners-mlqbj-runner-27gl5   Started container runner
60m         Normal    Scheduled   pod/arc-heavy-runners-mlqbj-runner-27jgh   Successfully assigned arc-runners/arc-heavy-runners-mlqbj-runner-27jgh to aks-heavy-22317745-vmss000002
60m         Normal    Pulling     pod/arc-heavy-runners-mlqbj-runner-27jgh   Pulling image "ghcr.io/actions/actions-runner:latest"
60m         Normal    Pulled      pod/arc-heavy-runners-mlqbj-runner-27jgh   Successfully pulled image "ghcr.io/actions/actions-runner:latest" in 99ms (99ms including waiting). Image size: 540108575 bytes.
62m         Normal    Pulling     pod/arc-heavy-runners-mlqbj-runner-27m4t   Pulling image "ghcr.io/actions/actions-runner:latest"
4m42s       Normal    Scheduled   pod/arc-heavy-runners-mlqbj-runner-27tkv   Successfully assigned arc-runners/arc-heavy-runners-mlqbj-runner-27tkv to aks-heavy-22317745-vmss000002
4m42s       Normal    Pulling     pod/arc-heavy-runners-mlqbj-runner-27tkv   Pulling image "ghcr.io/actions/actions-runner:latest"
4m42s       Normal    Pulled      pod/arc-heavy-runners-mlqbj-runner-27tkv   Successfully pulled image "ghcr.io/actions/actions-runner:latest" in 95ms (95ms including waiting). Image size: 540108575 bytes.
4m42s       Normal    Created     pod/arc-heavy-runners-mlqbj-runner-27tkv   Created container: runner
4m42s       Normal    Started     pod/arc-heavy-runners-mlqbj-runner-27tkv   Started container runner
61m         Normal    Pulling     pod/arc-heavy-runners-mlqbj-runner-27xb4   Pulling image "ghcr.io/actions/actions-runner:latest"
61m         Normal    Pulled      pod/arc-heavy-runners-mlqbj-runner-27xb4   Successfully pulled image "ghcr.io/actions/actions-runner:latest" in 89ms (89ms including waiting). Image size: 540108575 bytes.
19m         Normal    Scheduled   pod/arc-heavy-runners-mlqbj-runner-289mw   Successfully assigned arc-runners/arc-heavy-runners-mlqbj-runner-289mw to aks-heavy-22317745-vmss000002
19m         Normal    Pulling     pod/arc-heavy-runners-mlqbj-runner-289mw   Pulling image "ghcr.io/actions/actions-runner:latest"
